Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
University of Illinois,University of Illinois Urbana-Champaign,2128 South Griffth Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1968,1967,3280,1,1,0,Industrial,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1919 South Wright St Extended,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1972,1971,4878,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1009 West St Mary's Road,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1971,1970,10058,3,2,1,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,University Of Illinois,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1971,1988,7224,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1980,5853,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1981,1980,2856,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,901 South Sixth Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1977,1975,29294,4,3,1,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,501 E Daniel,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1992,1935,21845,5,4,1,Assembly,Assembly,Not provided
University of Illinois,University of Illinois Urbana-Champaign,Windsor Road,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1981,1974,1880,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3502 South First,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1981,4078,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2121 South Griffith Drive,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1984,1981,2560,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3502 South First,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1981,4000,2,2,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3502 South First,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1981,2101,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3502 South First,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1982,3046,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3502 South First,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1981,5248,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3502 South First,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1981,5248,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3502 South First,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1982,1981,7306,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2109 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1993,1993,4992,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2111 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1993,1993,4992,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2108 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1993,1993,4992,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,201 Hazelwood Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1988,1988,20790,1,1,0,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1007 West Nevada Street,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1992,1992,13529,2,2,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,809 South Oak Street,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,2004,2004,19900,1,1,0,Education,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1201 West Gregory Drive,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1991,1991,5499,2,1,1,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1611 South Oak Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1989,1989,9880,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,905 West Nevada Street,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1988,1988,7234,2,2,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1990,1990,19092,2,2,0,Assembly,Assembly,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1201 West Gregory Drive,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1991,1991,171231,5,4,1,Assembly,Assembly,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1806 South Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1989,1989,1600,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1004 South Fourth Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1991,1933,27118,5,4,1,Business,Business,Not provided
